condition,sentence,trigger,trigger224,trigger225,trigger226,trigger227,trigger228,trigger229,trigger230,trigger231,taskQuestion,correctAnswer,word_trigger,trigger224w,trigger225w,trigger226w,trigger227w,trigger228w,trigger229w,trigger230w,trigger231w
in-situ.84,هو كان الراجل البخيل يبفاصل مين في محل العطور؟,2,0,1,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
in-situ.85,هو كان المدرس الشديد بيهزء مين في الصف الصبح الصبح؟,2,0,1,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
in-situ.86,هو كان الممثل المشهور بينافس مين في الاوسكار الاخير الاخير؟,2,0,1,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
in-situ.87,هو كان الشاعر المعروف بيغازل مين في المهرجان الصيفي؟,2,0,1,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
in-situ.88,هو كان العجوز الطيب بيساعد مين في السوبرماركت المغرب؟,2,0,1,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
in-situ.89,هو كانت العميلة المزعجة بتهزء مين على الخط الاساسي؟,2,0,1,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
in-situ.90,هو كان المراهق الشيطان بيضرب مين في شارع الحي؟,2,0,1,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
cleft.26,ايه الي كانت الست المستعجلة نسته في البيت فوق؟,2,0,1,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
cleft.27,ايه الي كانت المدرسة البشوشه بتغنيه في الطابور الصبح؟,2,0,1,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
cleft.28,ايه الي كانت المحامية الجريئة بتعرضه في جلسة المحكمه؟,2,0,1,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
cleft.29,ايه الي كان الممرض القلوق بيراجعه ابل النبطشية الجيه؟,2,0,1,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
cleft.30,ايه الي كان المهندس المصاب شايله ابل الحادثه الكبيرة؟,2,0,1,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
cleft.31,ايه الي كان الجار الودود اخده من الجران الجداد؟,2,0,1,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
cleft.32,ايه الي كان المصور الطموح بيصوره عشان يطور الاستوديو؟,2,0,1,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
cleft.46,ايه الي كان المذيع اللبق بيسأله على الاذاعة الصباحية ؟,2,0,1,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
cleft.48,ايه الي كان الطالب الشاطر بيذاكره في مكتبة الجامعة؟,2,0,1,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
cleft.50,ايه الي كانت الست المستعجله بتشوفه في السوبرماركت الجديد؟,2,0,1,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
cleft.51,ايه الي كانت الام المشغوله بطبخه في المطبخ الخارجي؟,2,0,1,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
cleft.54,ايه الي كان الطالب المشغول بيحله في قاعة المدرسة؟,2,0,1,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
cleft.58,ايه الي كان الولد الخايف سامعه في البيت المسكون؟,3,0,0,1,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
cleft.59,ايه الي كانت المستشارة المتسامحة بتشرحه في أوضة الاجتماعات؟,3,0,0,1,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
cleft.60,ايه الي كان الطالب الذكي بيحله في قاعة الامتحان؟,3,0,0,1,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
cleft.38,مين الي كانت المذيعة اللطيفة بتكلمه على الراديو الصبح؟,3,0,0,1,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
cleft.39,مين الي كانت الملكة العادله بتفضله من الوزرة الملكين؟,3,0,0,1,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
cleft.40,هو كانت المراسلة المهمة وصلت الخادم من سكان القصر؟,3,0,0,1,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
cleft.41,مين الي كانت الكوفايرة المتمرسة بتعتبره من الزباين المزعجين,3,0,0,1,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
cleft.42,مين الي كان المحاسب المشغول عينه يخفف الضغط؟,3,0,0,1,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
cleft.43,مين الي كان الجد الحنون بيحظنه عشان يبطل عياط؟,3,0,0,1,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
cleft.44,مين الي كان الجراح الخبير بيعالجه من الفريق الوطني؟,3,0,0,1,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
cleft.45,مين الي كان الحرامي المسجون سارئ من سكان الكمبوند؟,3,0,0,1,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
cleft.47,مين الي كانت البنت التعبانة بتناديه مين في مسجد المحطه؟,3,0,0,1,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
cleft.49,مين الي كان الشخص العيان مستنيه في المستشفى الصغيرة؟,3,0,0,1,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
cleft.52,مين الي كان الراجل القوي بيساعده في مكان الحادثة؟,3,0,0,1,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
cleft.53,مين الي كانت البنت الجعانة مستنياه في المطعم الهندي؟,3,0,0,1,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
cleft.55,ايه الي كان السواق المشتت خبط مين في الباركنج الزحمة؟,3,0,0,1,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
cleft.56,مين الي كان المدير القاسي بيطرده في اجتماع الشغل؟,3,0,0,1,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
cleft.57,مين الي كان الراجل الشبعان مستنيه عند كاشير المطعم؟,3,0,0,1,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
yn.01,‏هو كان المدير الجديد عايز اقتراحات في اجتماع امبارح؟,3,0,0,1,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
yn.06,هو كانت الطالبة المجتهدة بتذاكر الاسهل من المواد الصعبة؟,3,0,0,1,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
yn.08,هو كان الولد الصغير كسب جايزة في مسابقة الرسم؟,3,0,0,1,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
yn.10,هو كانت الوزيرة المرشحة بتقترح قوانين في خطبها الاخير؟,3,0,0,1,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
yn.11,هو كانت الساحرة الشريرة بتخطط لوحدها في الكتاب المشوق؟,4,0,0,0,1,0,0,0,0,,,20,0,0,0,0,0,0,1,1
yn.12,هو كانت الدكتورة الجامعية بتناقش النظرية في المؤتمر العلمي؟,4,0,0,0,1,0,0,0,0,,,20,0,0,0,0,0,0,1,1
yn.13,هو كان العالم المعاصر دارس طب في جامعة الاسكندرية؟,4,0,0,0,1,0,0,0,0,,,20,0,0,0,0,0,0,1,1
yn.14,هو كانت الشيف المحبوبة طبخة جمبري في البرنامج المباشر؟,4,0,0,0,1,0,0,0,0,,,20,0,0,0,0,0,0,1,1
yn.15,هو كان البقال العجوز بيبيع خظار في محله الصغير؟,4,0,0,0,1,0,0,0,0,,,20,0,0,0,0,0,0,1,1
yn.16,هو كانت الام المرتب بتحضر العفش في البيت الجديد؟,4,0,0,0,1,0,0,0,0,,,20,0,0,0,0,0,0,1,1
yn.18,هو كان الحكم المرتشي غير المعدات في البطوله العالميه؟,4,0,0,0,1,0,0,0,0,,,20,0,0,0,0,0,0,1,1
yn.19,هو كان المخرج الفرنسي بيعرض افلام في المجتمع العربي؟,4,0,0,0,1,0,0,0,0,,,20,0,0,0,0,0,0,1,1
yn.20,هو كان الطباخ المهمل عمل كارثه عشان يتؤف فجأه؟,4,0,0,0,1,0,0,0,0,,,20,0,0,0,0,0,0,1,1
yn.22,هو كانت الخياطة الشاترة بطرز فستان عشان العروسة الجميلة؟,4,0,0,0,1,0,0,0,0,,,20,0,0,0,0,0,0,1,1
yn.25,هو كانت المريضة الجعانة بتاكل كويس عشان تتحسن حالتها؟,5,0,0,0,0,1,0,0,0,,,20,0,0,0,0,0,0,1,1
yn.02,‏هو كان الفنان الموهوب رسم قصر في اللوحة المشهورة؟,5,0,0,0,0,1,0,0,0,,,20,0,0,0,0,0,0,1,1
yn.03,هو كان المذيع السياسي بينقد البلاغ في المقابلة الأخيرة؟,5,0,0,0,0,1,0,0,0,,,20,0,0,0,0,0,0,1,1
yn.04,هو كان الاب الفخور بيشجع البنات في ماتش الكورة,5,0,0,0,0,1,0,0,0,,,20,0,0,0,0,0,0,1,1
yn.05,هو كان السباح المتحمس بينافس مين في البطولة الافريقية؟,5,0,0,0,0,1,0,0,0,,,20,0,0,0,0,0,0,1,1
yn.07,هو كان المخرج الاجنبي بيكلم الممثل عن الفلم الجديد؟,5,0,0,0,0,1,0,0,0,,,20,0,0,0,0,0,0,1,1
yn.09,هو كانت البطلة الشجاعة بتحارب بتركيز في آخر رواية؟,5,0,0,0,0,1,0,0,0,,,20,0,0,0,0,0,0,1,1
yn.17,هو كانت اللاعبة التعبانة بتنافس حد في المتش الاخير؟,5,0,0,0,0,1,0,0,0,,,20,0,0,0,0,0,0,1,1
yn.21,هو كان البلوجر الغيور فضح البنت في البوست الطويل؟,5,0,0,0,0,1,0,0,0,,,20,0,0,0,0,0,0,1,1
yn.23,هو كان البيطري الشاطر عالج كلب من مرضة العيادة؟,5,0,0,0,0,1,0,0,0,,,20,0,0,0,0,0,0,1,1
yn.24,هو كان الراجل المحترم بيحب وحده من بنات الجيران؟,5,0,0,0,0,1,0,0,0,,,20,0,0,0,0,0,0,1,1
yn.33,هو كان الكاتب المثقف بيترجم شكسبير من الكتاب الكبار,5,0,0,0,0,1,0,0,0,,,20,0,0,0,0,0,0,1,1
yn.34,هو كانت الموظفة الشقيانة بتساعد المدير في المشروع المتأخر؟,5,0,0,0,0,1,0,0,0,,,20,0,0,0,0,0,0,1,1
yn.35,هو كانت البنت المتأخرة مستنيه الولد عشان يجهز؟,6,0,0,0,0,0,1,0,0,,,20,0,0,0,0,0,0,1,1
yn.36,هو كانت الصحفية العنيدة بتعارض الجراح في المقال النهاردة؟,6,0,0,0,0,0,1,0,0,,,20,0,0,0,0,0,0,1,1
yn.37,هو كانت الشاعرة الحساسة بتوصف الوطن في الديوان المشهور؟,6,0,0,0,0,0,1,0,0,,,20,0,0,0,0,0,0,1,1
BVA.30,كل رياضية مبتدأه بتهيأ نفسها قبل التمرين,6,0,0,0,0,0,1,0,0,,,20,0,0,0,0,0,0,1,1
BVA.31,كل محاسبة جديدة بتعلم نفسها عشان التفوق,6,0,0,0,0,0,1,0,0,,,20,0,0,0,0,0,0,1,1
BVA.32,كل مسافرة متحمسة بتجهز نفسها قبل الرحلة,6,0,0,0,0,0,1,0,0,,,20,0,0,0,0,0,0,1,1
BVA.33,كل عالمة حريصه بتحمي نفسها قبل التجارب,6,0,0,0,0,0,1,0,0,,,20,0,0,0,0,0,0,1,1
BVA.34,كل محامية مهملة بتلوم نفسها على الخساره,6,0,0,0,0,0,1,0,0,,,20,0,0,0,0,0,0,1,1
BVA.35,كل طفلة شقيه بتخبي نفسها من العقاب,6,0,0,0,0,0,1,0,0,,,20,0,0,0,0,0,0,1,1
BVA.36,كل ممرضه مصابة بتحبس نفسها في المستشفى,10,1,0,1,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
BVA.37,كل ملكة مخلصة بتحسن نفسها عشان الشعب,10,1,0,1,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
BVA.38,كل مديرة مهتمة بتريح نفسها بعد النجاح,10,1,0,1,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
BVA.39,كل مستشاره متعمقة بتهلك نفسها عشان العميل,10,1,0,1,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
BVA.40,كل قائدة مهتمه بتعاتب نفسها بعد الفشل,10,1,0,1,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
BVA.41,كل مربية مسؤوله بتحمل نفسها عشان الولاد,10,1,0,1,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
BVA.42,كل رياضة حريفة بتشجع نفسها عشان تكسب,10,1,0,1,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
BVA.43,كل محامية شغوفه بتطور نفسها عشان القضايا,10,1,0,1,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
BVA.44,كل ممثلة مخلصة بتغير نفسها عشان الدور,10,1,0,1,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
BVA.60,كل سواء اوبر بيراجع نفسه قبل الرحلة,10,1,0,1,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
BVA.62,كل موسيقار حساس بيسمع نفسه في التسجيلات,10,1,0,1,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
BVA.63,كل راجل غني بيدلع نفسة بعد الشغل,10,1,0,1,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
BVA.64,كل صيدلي عيان بيعالج نفسه في الصيدلية,10,1,0,1,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
BVA.65,كل سواق جديد بيفكر نفسه قبل الامتحان,10,1,0,1,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
BVA.66,كل مهندس ذكي بيجهز نفسه قبل المشروع,10,1,0,1,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
BVA.67,كل عجوز حكيم بيعلم نفسه من الحياة,9,1,1,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
BVA.68,كل مدرس مضغوط بيريح نفسة بعد الامتحانات,9,1,1,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
BVA.69,كل غطاس قديم بيحمي نفسه من الخطر,9,1,1,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
BVA.70,كل باريستا محترف بيتور نفسه عشان الزباين,9,1,1,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
BVA.71,كل مجرم جريئ بيهيئ نفسه قبل الجريمة,9,1,1,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
BVA.72,كل ممثل متحمس بيحفز نفسه قبل المسرحيه,9,1,1,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
BVA.73,كل مبرمج محترف بيدرب نفسه على البروجرام,9,1,1,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
BVA.74,كل ممرض منتبه بينظف نفسه بين الشفتات,7,0,0,0,0,0,0,1,0,,,20,0,0,0,0,0,0,1,1
BVA.75,كل شخص جبان بيشجع نفسه قبل المواجهة,7,0,0,0,0,0,0,1,0,,,20,0,0,0,0,0,0,1,1
RA.16,العروسة الجديدة بتدلع نفسها قبل الفرح,7,0,0,0,0,0,0,1,0,,,20,0,0,0,0,0,0,1,1
RA.17,الدكتورة الكبيرة بتعالج نفسها في المستشفى,7,0,0,0,0,0,0,1,0,,,20,0,0,0,0,0,0,1,1
RA.61,المحامي المتوترة بتراجع نفسها قبل الجلسة,7,0,0,0,0,0,0,1,0,,,20,0,0,0,0,0,0,1,1
RA.18,المريضة المتوترة بتطمن نفسها بعد العلاج,7,0,0,0,0,0,0,1,0,,,20,0,0,0,0,0,0,1,1
RA.19,الجراحة الحريصة بتحفز نفسها قبل العملية,7,0,0,0,0,0,0,1,0,,,20,0,0,0,0,0,0,1,1
RA.20,الممثلة القديرة بتكرر نفسها في الأدوار,7,0,0,0,0,0,0,1,0,,,20,0,0,0,0,0,0,1,1
RA.21,الخياطة المعروفة بتور نفسها عشان الزباين,7,0,0,0,0,0,0,1,0,,,20,0,0,0,0,0,0,1,1
RA.22,الطالبة المجتهده بينتقد نفسها بعد الحصة,7,0,0,0,0,0,0,1,0,,,20,0,0,0,0,0,0,1,1
RA.23,الام المقصره بتعاقب نفسها على التقصير,7,0,0,0,0,0,0,1,0,,,20,0,0,0,0,0,0,1,1
RA.24,الدكتورة التجميل بتجمل نفسها عشان التسويق,7,0,0,0,0,0,0,1,0,,,20,0,0,0,0,0,0,1,1
RA.25,المصورة المبدعة بتدرب نفسها على الزوايا,7,0,0,0,0,0,0,1,0,,,20,0,0,0,0,0,0,1,1
RA.26,المغنية المشهوره بتهيء نفسها قبل الحفلة,7,0,0,0,0,0,0,1,0,,,20,0,0,0,0,0,0,1,1
RA.27,المدرسة المجتهدة بترتب نفسها قبل الحصص,7,0,0,0,0,0,0,1,0,,,20,0,0,0,0,0,0,1,1
RA.28,الطفلة الصغيرة بتأكل نفسها عشان تتعلم,7,0,0,0,0,0,0,1,0,,,20,0,0,0,0,0,0,1,1
RA.29,الرسامة المبهرة بتنظف نفسها بعد الرسم,7,0,0,0,0,0,0,1,0,,,20,0,0,0,0,0,0,1,1
RA.45,المسلمة الملتزمة بتفكر نفسها عشان الصلاة,7,0,0,0,0,0,0,1,0,,,20,0,0,0,0,0,0,1,1
RA.46,الموظف الشقيان بيكافئ نفسه بعد المشروع,7,0,0,0,0,0,0,1,0,,,20,0,0,0,0,0,0,1,1
RA.47,الممثل المشهور بيشوف نفسه في المسلسلات,7,0,0,0,0,0,0,1,0,,,20,0,0,0,0,0,0,1,1
RA.48,الراقص المتمرس بيصور نفسه في التمارين,7,0,0,0,0,0,0,1,0,,,20,0,0,0,0,0,0,1,1
RA.49,الطفل الصغير بيأكل نفسه في الحضانة,7,0,0,0,0,0,0,1,0,,,20,0,0,0,0,0,0,1,1
RA.50,الاهوجي التعبان بيشرب نفسه من القهوة,7,0,0,0,0,0,0,1,0,,,20,0,0,0,0,0,0,1,1
RA.51,المذيع الشاطر بيكلم نفسه عشان يتمرن,7,0,0,0,0,0,0,1,0,,,20,0,0,0,0,0,0,1,1
RA.52,المغني المغرور بيحب نفسه في الاستعراض,7,0,0,0,0,0,0,1,0,,,20,0,0,0,0,0,0,1,1
RA.53,الولد الغلطان بيسامح نفسه بعد العقاب,7,0,0,0,0,0,0,1,0,,,20,0,0,0,0,0,0,1,1
RA.54,الموظف المركز بينتقد نفسه بعد المشروع,7,0,0,0,0,0,0,1,0,,,20,0,0,0,0,0,0,1,1
RA.55,السياسي الجاهز بيرشح نفسه عشان الانتخابات,7,0,0,0,0,0,0,1,0,,,20,0,0,0,0,0,0,1,1
RA.56,الرياضي المتحمس بيعاين نفسه بعد المباراة,7,0,0,0,0,0,0,1,0,,,20,0,0,0,0,0,0,1,1
RA.57,المجرم المسجون بيحاسب نفسه على الحبسة,7,0,0,0,0,0,0,1,0,,,20,0,0,0,0,0,0,1,1
RA.58,الولد الصغير بيرسم نفسه في الرسمة,7,0,0,0,0,0,0,1,0,,,20,0,0,0,0,0,0,1,1
RA.59,الكاتب المحبوب بيتحدى نفسه عشان يتحسن,14,1,0,0,0,0,0,1,0,,,20,0,0,0,0,0,0,1,1
NP.01,كل طالبة مجتهدة بتكافئ المدرسين بعد الامتحان,14,1,0,0,0,0,0,1,0,,,20,0,0,0,0,0,0,1,1
NP.02,كل رياضية أولمبية بتشوف الفريق في الجرنان,14,1,0,0,0,0,0,1,0,,,20,0,0,0,0,0,0,1,1
NP.03,كل مرشدة سياحية بتصور السياح عند الاثار,14,1,0,0,0,0,0,1,0,,,20,0,0,0,0,0,0,1,1
NP.04,كل شيف محترفة بتأكل الجرسون من الأكل,14,1,0,0,0,0,0,1,0,,,20,0,0,0,0,0,0,1,1
NP.05,كل بنت عطشانة بتشرب البيبي من الكوباية,14,1,0,0,0,0,0,1,0,,,20,0,0,0,0,0,0,1,1
NP.06,كل وزيرة جديدة بتكلم الرئيس ابل الخطاب,14,1,0,0,0,0,0,1,0,,,20,0,0,0,0,0,0,1,1
NP.07,كل ست شجاعة بتحب الرواد في المجتمع,14,1,0,0,0,0,0,1,0,,,20,0,0,0,0,0,0,1,1
NP.08,كل مسجونة ندمانة بتسامح القاضي بعد الخروج,14,1,0,0,0,0,0,1,0,,,20,0,0,0,0,0,0,1,1
NP.09,كل دكتورة جامعية بتعاين التلاميذ بعد المحاضرة,14,1,0,0,0,0,0,1,0,,,20,0,0,0,0,0,0,1,1
NP.10,كل مديرة طموحا بترشح الستات عشان المركز,14,1,0,0,0,0,0,1,0,,,20,0,0,0,0,0,0,1,1
NP.11,كل مغنية مشهورة بتشجع الفرقة قبل الاستعراض,12,1,0,0,0,1,0,0,0,,,20,0,0,0,0,0,0,1,1
NP.12,كل أم قلوقة بتحاسب الولاد علي الحوادث,12,1,0,0,0,1,0,0,0,,,20,0,0,0,0,0,0,1,1
NP.13,الرسامة المعروفة بترسم المشاهير عشان تتشهر,12,1,0,0,0,1,0,0,0,,,20,0,0,0,0,0,0,1,1
NP.14,كل ممرضة مبتدئة بتتحدى الدكاترة في الشغل,12,1,0,0,0,1,0,0,0,,,20,0,0,0,0,0,0,1,1
NP.15,كل ممثلة صوتية بتسمع الشخصية في الافلام,12,1,0,0,0,1,0,0,0,,,20,0,0,0,0,0,0,1,1
NP.76,كل رسام صبور بيمرن المبتدأين في الورشة,12,1,0,0,0,1,0,0,0,,,20,0,0,0,0,0,0,1,1
NP.77,كل رياضي مهتم بيحسن الفريق قبل المسابقة,12,1,0,0,0,1,0,0,0,,,20,0,0,0,0,0,0,1,1
NP.78,كل متسلق خبير بيرتب نفسه قبل التسلق,12,1,0,0,0,1,0,0,0,,,20,0,0,0,0,0,0,1,1
NP.79,كل اب غايب بيلوم الام على الغياب,12,1,0,0,0,1,0,0,0,,,20,0,0,0,0,0,0,1,1
NP.80,كل مجرم سفاح بيخبي الضحية من المباحث,12,1,0,0,0,1,0,0,0,,,20,0,0,0,0,0,0,1,1
NP.81,كل مريض معدي بيحبس العيلة في الحجر,12,1,0,0,0,1,0,0,0,,,20,0,0,0,0,0,0,1,1
NP.82,كل موظف ناجح بيتعب الفريق عشان النجاح,12,1,0,0,0,1,0,0,0,,,20,0,0,0,0,0,0,1,1
NP.83,كل طالب متوتر بيطمن المدرس بعد المذاكرة,12,1,0,0,0,1,0,0,0,,,20,0,0,0,0,0,0,1,1
NP.84,كل مدير مهموم بيهلك الموظفين عشان النجاح,12,1,0,0,0,1,0,0,0,,,20,0,0,0,0,0,0,1,1
NP.85,كل دكتور حريص بيعقم المريض قبل العمليات,12,1,0,0,0,1,0,0,0,,,20,0,0,0,0,0,0,1,1
NP.86,كل سواق مشتت بيعاتب العميل بعد الحادثة,12,1,0,0,0,1,0,0,0,,,20,0,0,0,0,0,0,1,1
NP.87,كل ممثل مغرور بيمدح المخرج بعد العرض,12,1,0,0,0,1,0,0,0,,,20,0,0,0,0,0,0,1,1
NP.88,كل شيف محترف بيطور المساعدين في المطعم,12,1,0,0,0,1,0,0,0,,,20,0,0,0,0,0,0,1,1
NP.89,كل مبتدئ مهتم بيغير زملائه عشان التطور,12,1,0,0,0,1,0,0,0,,,20,0,0,0,0,0,0,1,1
NP.90,كل مدمن متعالج بيعاقب المتسبب عشان الغلط,12,1,0,0,0,1,0,0,0,,,20,0,0,0,0,0,0,1,1
BA.1,لما هي كانت في المستشفى الممرضة نصحت العيان,12,1,0,0,0,1,0,0,0,,,20,0,0,0,0,0,0,1,1
BA.2,لما هي كانت في الحضانة المدرسة علمت الاطفال,12,1,0,0,0,1,0,0,0,,,20,0,0,0,0,0,0,1,1
BA.3,لما هي كانت في الجنينة الناني فسحت الولاد,12,1,0,0,0,1,0,0,0,,,20,0,0,0,0,0,0,1,1
BA.4,لما هي كانت علي الطيارة المضيفة ساعدت المسافرين,12,1,0,0,0,1,0,0,0,,,20,0,0,0,0,0,0,1,1
BA.5,لما هي كانت في المكتب السكرتيرة نظمت المستندات,12,1,0,0,0,1,0,0,0,,,20,0,0,0,0,0,0,1,1
BA.6,لما هي كانت في الاستوديو المذيعة حيت الجمهور,12,1,0,0,0,1,0,0,0,,,20,0,0,0,0,0,0,1,1
BA.7,لما هي كانت في اللوكيشن الممثلة خالفت الكاتب,12,1,0,0,0,1,0,0,0,,,20,0,0,0,0,0,0,1,1
